Rec,Sent,User_ID,Rec_Lang,Sent_Lang
"[NAME, 8] preciosa es [NAME, 4] que te habla me puedes dar una ayudita",Claro en que,U01,spanish,spanish
Tu terminaste la tarea de matematicas,"Cual?, La que mando ayer",U01,spanish,spanish
"La de hoy, I dime comiste llagaste bien",No ni he empezado ni me acuerdo q mando estoy buscando trabajo ni he llegado a la casa,U01,spanish,spanish
Ohh esta bien cuando la agas me la puedes mandar por favor,Claro que si :),U01,spanish,spanish
"Gracias me estoy al pegar un Tiro nose por que no me sale, Yo te escribo mas tarde mientras note molestare sigue en tu busqueda, Suerte, [EMO, 8], Te dieron trabajo",No sigo en.la.busqueda,U01,spanish,spanish
A donde ash ido,A supermercados y eso pero no esta el.manager o ya no hay vacantes o me ven cara de muy chiquitita,U01,bilingual,spanish
"Carai, A mi me dicen lo mismo","[NAME, 5] vamos.maÂ–ana juntos a ver trabajo quieres? Si quieres no mas :), Y salimos y ratito de paso q estoy aburrida de estar en la casa",U01,spanish,spanish
"Te comprendo, Hecho, MaÂ–ana luego de la school, De acuerdo",Dale  maÂ–ana despues de la school va a ser genial vamos yeiih,U01,spanish,spanish
"[EMO, 8][EMO, 7][EMO, 8], Tengo 1 idea",Cual,U01,bilingual,other
Como a que hora aras la tarea,"Aun no llego a la casa pero la.hago.rapido, Como en.5 llego a la casa como.y de ahi me.pongo hacer",U01,spanish,spanish
"Osea me refiero a despues de hacerla verdd hacer una lista de pugares posibles por pos cuales nos puedan aceptar, Que dices",Dale.de una :),U01,spanish,bilingual
"Perfecto i no vuelvas a hacer eso tienes que comer lo suficiente, En la school votaste la comida, Deseguro tienes mucha hambre","Ahorita estoy en la [NUMBER, 3] ya mismo llego",U01,spanish,spanish
Cual es tu hogar,"Yo vivo en la.[NUMBER, 3]",U01,spanish,bilingual
Esos arboles se veran bien lindos,Jajajaja lol estan sin hojas.  maÂ–ana va a ser chevere :),U01,spanish,spanish
Yeah,I cant wait,U01,other,bilingual
"[EMO, 15], Jejej, Ni yo, Aver llegaste preciosa",No pare hacer compra para la casa no hay leche te escribo en 5,U01,spanish,spanish
"Ok compra tu leche mujer[EMO, 14], Comiste preciosa, Estas",Me acavbo de despertar me.quede bieb dormida esque cami tanto y me.muero del hambre,U01,spanish,spanish
"Acaso no ash comido, Diime",Holiiii :),U01,bilingual,spanish
Me enojare contigo si no comes,Oooh que liindo porq te preocupas ahorita mi tia esta coconando,U01,bilingual,spanish
"Holiiiii, Ne contajiaste el Holiiii",Jajajaja sii el holii es contajiosos jaja,U01,spanish,spanish
"Come algo un pastelillo, Algo, No paces hambre, Si me lo contajiaste, Ya ella termino",Ahorita ya estpy haciendo.mate guando acabe te mando,U01,spanish,spanish
Esta bien gracias,"Me faltan las 2 ultimas, Ya te mando",U01,spanish,spanish
"Ok, Muchas gracias, Gracuas precuosa",Algunas[WEB]o tu sepas,U01,spanish,spanish
Preciosa,"De nada, :)",U01,other,spanish
Necesito que me expliques algo  maÂ–ana,Dale.maÂ–ana te explico sabes q no mas hay de deberes,U01,spanish,spanish
Tengo ingles,Ingles que,U01,spanish,bilingual
