user_id,incoming,ground_truth,generated_reply
U01,"Holiiiii, Ne contajiaste el Holiiii",Jajajaja sii el holii es contajiosos jaja,Siii en la escuela
U01,Waaoooo pense que ibas a dormir,No voy al culto jaja y de ahi a seguir estudiando,Hola no me acabo de ir a dormir ya estoy en el trabajo
U01,"Hoodoo sorry ok., Hola mi preciosa","Hola Pa, Pa estoy con.la.[NAME, 5] en.un concierto cristiano","Hola hermosa, Donde esta?"
U01,"Gracias a Dios, Todo bien?",Si todo esta bien :) aun no se despierta,Sii todo bien gracias a Dios por todo
U01,"Hijita  que va a comer, Posiblemente  hoy vaya al [NAME, 5] con el carro","Estoy con la.[NAME, 4] ahi vemos q comemos","Hoy voy a comer en la 1 de la tarde, Y si va al [NAME, 5] con el carro, [NAME, 6] ya esta en el trabajo"
U01,"[EMO, 15], Jejej, Ni yo, Aver llegaste preciosa",No pare hacer compra para la casa no hay leche te escribo en 5,No gracias ya me voy de la iglesia
U01,Necesito que me expliques algo  maÂ–ana,Dale.maÂ–ana te explico sabes q no mas hay de deberes,Ok. Que es
U01,"Dios te bendiga mucho tambien corazon, sabes estoy enfermito no fui a trabajar : ( creo que necesito descanzar y por eso me quede en caza","[NAME, 5] ya nada bueno hermanito que se.mejore","Lo siento mucho, espero que te mejoras pronto, Dios te curara con su medicina, no te preocupes por el trabajo que se hara, que la vida sea para ti, que te llene de paz y amor, Dios te bendiga mucho."
U01,"Buenas niches, Noches",Que tenga tambien una buena noche.,"Hola, Buenas noches"
U01,"Hola esta bien gracias, Como esta todo?",Todo bien nina esta jugando :) ya comio y ya le cambie el paÂ–al,"Hola estoy bien gracias. Todo bien gracias, Como esta todo?"
U01,"Hola [NAME, 6] perdon se que es tarde, pero no tienes que venir  maÂ–ana. El papa de [NAME, 5]ina le dieron el dÂ’a libre  maÂ–ana.","Sra. [NAME, 4]ÂComo esta? Le dejo saber que ya estoy en camino",Sip no me hace falta pero gracias
U01,(2/2) icio regular?,Como como,Si ya voy a llegar
U01,"tanks baby see you tomorrow: )[EMO, 15]","Holi hermanito como esta hoy hay practica? Si si hay le caigo un ratito para sa[NAME, 4]r despues del work :)","Ok pa, No me olvides, A ver que haces"
U01,Espero hasta las doce.Contesteme,"[NUMBER, 3] y [PLACE, 5]",Hoy no esta trabajando?
U01,"Y ahora????, Yo acabo de despertar, Pero quiero seguir durmiendo pero mi cuerpo ya no quiere estar acostado jajajaja, [NAME, 15]   [NAME, 5] y [NAME, 5] + [NAME, 5]: [WEB, 7]","Jaja que ricoo yo estpy trabajando con mami [NAME, 6] despues le texteo",Hijita que estuvo en la iglesia?
U01,"Ok compra tu leche mujer[EMO, 14], Comiste preciosa, Estas",Me acavbo de despertar me.quede bieb dormida esque cami tanto y me.muero del hambre,Ok ok ok maÂ’Â’Â’ te quiero
U01,"Estoy en [PLACE, 6]..sorry no conteste antes se me apago ya casi no tengo bateria, Asta donde vienes","Vengo de [PLACE, 12] de [PLACE, 18]",Hola :)
U01,"Si kieres ir con nosotroa tendremos reunion en casa de la hna quircia a las 7:45 estoy en la iglesia, Ok, Iba a pasar a tu caza pero ya no me da tiempo",Que tal les fue?,Hija no te preocupes que es lo que se dice al decir que Dios es nuestra esperanza no te preocupes que Dios siempre nos va a ayudar a traves de sus palabras
U01,oooo my god no es posible...pero el sabado pasado tu no te presentaste talves penso que no venias digo alo mejor nose,Pero yo le.dije q no iba ir y despues llegue a la iglesia y le.volvia reatificar porq no iba hoy me.dijo q nos veamos a la 7:15 y hasta ahorita no viene enserio que estres. Eso me enoja demasiafo que piensa de.la vida y me muero de frio que mal.ya no quiero ir a estas clases enserio o mejor deme usted las clases para no seguir perdiendo el tiempo ahorita estoy que hecjo chispas >:(,No me presenti el sabado pero el lunes si vine a la escuela
U01,"y yo a ti mas [EMO, 6][EMO, 51 descanza  maÂ–ana hablamos , me encanta tu nariz",Jajajajajaja q malo no me haga bullying mejor borre eso,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah
U01,Mi princesita  donde anda.Le llame y no me. Contesta..............,"Hola pa, Estaba en la.iglesia, Y desoues me.dormi hace un rato me.desperte","Hola pa, Estoy en la casa de mi hermana y en este momento estoy comiendo un delicioso desayuno"
U01,"Awwww que Linda, Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes? , Buen dia [NAME, 6] [NAME, 5] llego talde Ayer. Y hoy entreo a trabajar Temprano. Puedes esperar para cobrar el lunes?","Sra. [NAME, 4] Buenos dÂ’asno se preocupe el Lunes cobro.","Hola [NAME, 5] [NAME, 6] estoy en el trabajo. Ya esta la orden de [NAME, 6] de 1000.000.000."
U01,"Donde esta, Que tal las clases",En la casa me fue super bien hay q buscar la camiseta q ya me.pidieron uniforme,No estoy en clases estoy en el trabajo
U01,Yeah,Eso de ver a donde vamos a ir,Cual fue el resultado?
U01,Como a que hora aras la tarea,"Aun no llego a la casa pero la.hago.rapido, Como en.5 llego a la casa como.y de ahi me.pongo hacer",A las 2
U01,"Hola [NAME, 6] no tienes que venir  maÂ–ana [NAME, 7] no tiene clase. El viernes tampoco. Pero Jueves puede venir. , Buen dia [NAME, 6] recibiste mi mensaje?","Hola sra.[NAME, 4] lo acabo de.ver gracias por avisarme","Hola, Si me recibiste ya estoy en la oficina"
U01,"yo voy, Jajajajaja","Hermano vamos juntos a la iglesia, ??",Ok jajaja
U01,Me enojare contigo si no comes,Oooh que liindo porq te preocupas ahorita mi tia esta coconando,"Voy a ir pa.la iglesia, si no me esperas ya estoy en camino"
U01,4carreras[WEB]o le va mi princesita,Bien pa gracias a Dios pa te deseo o mejor yo confio en ti y se que vas a.poder ponte las pilas. Voy a ver si me.inscribo al gym,Hija de la princesa
U01,"Esta bien preguntele a mi hijo, Porfavor, Todo bien ?","Si todo ya esta bien estÂ‡ jugando [NAME, 4]...... su hijo me ayudo a cambiarla","Siiii, Todo bien gracias por preguntar, Que haces"
U01,te sobo?,Necesito un buen spa jajaja vamos a uno :) ciando me pague ahi vamos jajaja,Ya sali de la iglesia y ya me voy a la casa
